epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9579,1.54145,2.92482,1.44345,0.00372,0.98851,0.72059,0.47748,0.95342,3.16188,1.00167,0.00028,0.00028,0.00028
2,137.926,1.04206,1.65028,1.06704,0.98856,0.57088,0.82169,0.61495,0.87879,2.7726,0.99357,0.000574258,0.000574258,0.000574258
3,232.043,1.01019,1.46101,1.02392,0.98869,0.66971,0.92435,0.64472,0.878,2.64708,0.95852,0.000862576,0.000862576,0.000862576
4,320.878,1.08367,1.38275,1.06476,0.87781,0.79693,0.87102,0.62365,0.9787,2.42607,1.06842,0.00114495,0.00114495,0.00114495
5,409.23,1.07673,1.32282,1.05231,0.91609,0.66284,0.82406,0.57532,0.99415,2.1227,1.04848,0.00142139,0.00142139,0.00142139
6,460.566,1.06188,1.30749,1.05313,0.88964,0.75479,0.88926,0.66125,0.94752,1.82694,1.03643,0.00169189,0.00169189,0.00169189
7,512.555,0.97029,1.19379,1.02722,0.91248,0.84674,0.94194,0.68918,0.9382,1.64336,1.05518,0.0018812,0.0018812,0.0018812
8,564.255,0.9457,1.07068,1.01941,0.86058,0.82375,0.9166,0.67312,0.95955,1.62125,1.03936,0.0018614,0.0018614,0.0018614
9,616.805,0.95625,1.05223,0.99966,0.888,0.75941,0.9026,0.65289,0.99782,1.83261,1.07598,0.0018416,0.0018416,0.0018416
10,668.65,1.01932,1.03411,1.04277,0.89718,0.90038,0.96264,0.57288,1.145,1.78154,1.13408,0.0018218,0.0018218,0.0018218
11,723.229,0.91197,0.99599,1.01386,0.85506,0.95785,0.95221,0.645,1.03098,2.10732,1.11837,0.001802,0.001802,0.001802
12,775.418,0.90776,0.86038,0.9982,0.97419,0.95785,0.99223,0.71427,0.9558,1.14365,1.08108,0.0017822,0.0017822,0.0017822
13,834.085,0.90507,0.8326,1.00692,0.96829,0.96169,0.98793,0.71622,0.90161,1.1026,1.05896,0.0017624,0.0017624,0.0017624
14,887.269,0.87938,0.81102,0.9884,0.98645,0.96935,0.99242,0.76465,0.82681,1.08154,0.99858,0.0017426,0.0017426,0.0017426
15,937.477,0.86168,0.7798,0.97967,0.93722,0.97237,0.98257,0.69045,0.90343,0.99747,0.99898,0.0017228,0.0017228,0.0017228
16,988.843,0.88138,0.73879,0.97281,0.97947,0.96935,0.99118,0.78544,0.74496,0.90046,0.94168,0.001703,0.001703,0.001703
17,1040,0.87082,0.7281,0.99082,0.98175,0.96552,0.99212,0.78067,0.72349,0.71447,0.9281,0.0016832,0.0016832,0.0016832
18,1092.53,0.822,0.70425,0.96829,0.9774,0.98467,0.99417,0.7712,0.82321,0.64349,0.96856,0.0016634,0.0016634,0.0016634
19,1174.51,0.86202,0.66923,0.98823,0.99242,0.97701,0.99451,0.79059,0.74965,0.64449,0.93246,0.0016436,0.0016436,0.0016436
20,1267.64,0.82263,0.6773,0.98957,0.98462,0.98135,0.99432,0.83075,0.67312,0.61168,0.91187,0.0016238,0.0016238,0.0016238
21,1360.08,0.87796,0.65968,0.99405,0.98377,0.99234,0.99318,0.78652,0.74746,0.60423,0.9343,0.001604,0.001604,0.001604
22,1452.52,0.86594,0.64858,0.98849,0.99616,0.99464,0.99489,0.7825,0.79114,0.60231,0.92906,0.0015842,0.0015842,0.0015842
23,1545.2,0.82644,0.63335,0.98024,0.98841,0.97986,0.9943,0.79836,0.76165,0.66822,0.92837,0.0015644,0.0015644,0.0015644
24,1637.61,0.7934,0.62422,0.9813,0.98406,0.99617,0.99469,0.82341,0.66433,0.58136,0.89428,0.0015446,0.0015446,0.0015446
25,1730.67,0.83226,0.60273,0.98559,0.99233,0.9918,0.99492,0.78463,0.72457,0.58081,0.92402,0.0015248,0.0015248,0.0015248
26,1822.83,0.81393,0.59261,0.96108,0.98037,0.97701,0.9935,0.7596,0.88757,0.58003,0.97896,0.001505,0.001505,0.001505
27,1906.26,0.81774,0.58742,0.96298,0.99094,0.97318,0.99432,0.81397,0.69264,0.51168,0.91735,0.0014852,0.0014852,0.0014852
28,1998.17,0.77316,0.56357,0.95347,0.99489,0.99617,0.99489,0.82174,0.6721,0.47869,0.90486,0.0014654,0.0014654,0.0014654
